,movie,year,imdb,metascore,votes,descriptions,n_imdb
471,Infernal Affairs,(2002),8.1,75,111865,"
    A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",81.0
472,The Lord of the Rings: The Two Towers,(2002),8.7,87,1371456,"
    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",87.0
473,Catch Me If You Can,(2002),8.1,75,734024,"
    A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",81.0
474,The Pianist,(2002),8.5,85,655628,"
    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.",85.0
475,City of God,(2002),8.6,79,653008,"
    In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",86.0
476,Spider-Man,(2002),7.3,73,648492,"
    When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",73.0
477,Star Wars: Episode II - Attack of the Clones,(2002),6.6,54,582620,"
    Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",66.0
478,Harry Potter and the Chamber of Secrets,(2002),7.4,63,500822,"
    An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.",74.0
479,The Bourne Identity,(2002),7.9,68,479568,"
    A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",79.0
480,Minority Report,(2002),7.6,80,474918,"
    In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",76.0
481,Ice Age,(2002),7.5,60,408573,"
    Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe.",75.0
482,Gangs of New York,(2002),7.5,72,376348,"
    In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",75.0
483,28 Days Later...,(2002),7.6,73,349207,"
    Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",76.0
484,Signs,(2002),6.7,59,319811,"
    A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.",67.0
485,Men in Black II,(2002),6.2,49,319624,"
    Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.",62.0
486,The Ring,(2002),7.1,57,301184,"
    A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.",71.0
487,Equilibrium,(2002),7.4,33,298350,"
    In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",74.0
488,The Transporter,(2002),6.8,51,271888,"
    Frank is hired to ""transport"" packages for unknown clients and has made a very good living doing so. But when asked to move a package that begins moving, complications arise.",68.0
489,Insomnia,(2002),7.2,78,256169,"
    Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.",72.0
490,Panic Room,(2002),6.8,65,240254,"
    A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room, when three men break-in, searching for a missing fortune.",68.0
491,Phone Booth,(2002),7.0,56,239053,"
    Publicist Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle. Unable to leave or receive outside help, Stuart's negotiation with the caller leads to a jaw-dropping climax.",70.0
492,Red Dragon,(2002),7.2,60,234019,"
    A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.",72.0
493,Resident Evil,(2002),6.7,33,233987,"
    A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",67.0
494,8 Mile,(2002),7.1,77,231382,"
    A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",71.0
495,Road to Perdition,(2002),7.7,72,230193,"
    A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",77.0
496,Chicago,(2002),7.1,82,203043,"
    Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",71.0
497,Die Another Day,(2002),6.1,56,193560,"
    James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.",61.0
498,A Walk to Remember,(2002),7.4,35,189880,"
    The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service.",74.0
499,Blade II,(2002),6.7,52,188909,"
    Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",67.0
500,Austin Powers in Goldmember,(2002),6.2,62,185959,"
    Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",62.0
501,Hero,(2002),7.9,85,167233,"
    A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",79.0
502,xXx,(2002),5.9,48,167207,"
    An extreme sports athlete, Xander Cage, is recruited by the government on a special mission.",59.0
503,Adaptation.,(2002),7.7,83,166480,"
    A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.",77.0
504,25th Hour,(2002),7.6,67,163500,"
    Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",76.0
505,About a Boy,(2002),7.0,75,163168,"
    A cynical, immature young man is taught how to act like a grown-up by a little boy.",70.0
506,Lilo & Stitch,(2002),7.2,73,153191,"
    A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive.",72.0
507,Bowling for Columbine,(2002),7.9,72,135496,"
    Filmmaker Michael Moore explores the roots of America's predilection for gun violence.",79.0
508,Punch-Drunk Love,(2002),7.3,78,134608,"
    A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding.",73.0
509,Mr. Deeds,(2002),5.8,24,128499,"
    A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",58.0
510,The Scorpion King,(2002),5.5,45,124167,"
    A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.",55.0
511,We Were Soldiers,(2002),7.1,65,122416,"
    The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",71.0
512,The Count of Monte Cristo,(2002),7.7,61,121538,"
    A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",77.0
513,Reign of Fire,(2002),6.2,39,120591,"
    A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.",62.0
514,About Schmidt,(2002),7.1,85,117986,"
    A man upon retirement, embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",71.0
515,The Hours,(2002),7.5,80,117775,"
    The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives.",75.0
516,John Q,(2002),7.1,30,116431,"
    John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.",71.0
517,My Big Fat Greek Wedding,(2002),6.5,62,114484,"
    A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.",65.0
518,The Time Machine,(2002),6.0,42,113751,"
    Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",60.0
519,Infernal Affairs,(2002),8.1,75,111865,"
    A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",81.0
520,The Lord of the Rings: The Two Towers,(2002),8.7,87,1371456,"
    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",87.0
521,Catch Me If You Can,(2002),8.1,75,734024,"
    A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",81.0
522,The Pianist,(2002),8.5,85,655628,"
    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.",85.0
523,City of God,(2002),8.6,79,653008,"
    In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",86.0
524,Spider-Man,(2002),7.3,73,648492,"
    When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",73.0
525,Star Wars: Episode II - Attack of the Clones,(2002),6.6,54,582620,"
    Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",66.0
526,Harry Potter and the Chamber of Secrets,(2002),7.4,63,500822,"
    An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.",74.0
527,The Bourne Identity,(2002),7.9,68,479568,"
    A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",79.0
528,Minority Report,(2002),7.6,80,474918,"
    In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",76.0
529,Ice Age,(2002),7.5,60,408573,"
    Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe.",75.0
530,Gangs of New York,(2002),7.5,72,376348,"
    In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",75.0
531,28 Days Later...,(2002),7.6,73,349207,"
    Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",76.0
532,Signs,(2002),6.7,59,319811,"
    A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.",67.0
533,Men in Black II,(2002),6.2,49,319624,"
    Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.",62.0
534,The Ring,(2002),7.1,57,301184,"
    A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.",71.0
535,Equilibrium,(2002),7.4,33,298350,"
    In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",74.0
536,The Transporter,(2002),6.8,51,271888,"
    Frank is hired to ""transport"" packages for unknown clients and has made a very good living doing so. But when asked to move a package that begins moving, complications arise.",68.0
537,Insomnia,(2002),7.2,78,256169,"
    Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.",72.0
538,Panic Room,(2002),6.8,65,240254,"
    A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room, when three men break-in, searching for a missing fortune.",68.0
539,Phone Booth,(2002),7.0,56,239053,"
    Publicist Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle. Unable to leave or receive outside help, Stuart's negotiation with the caller leads to a jaw-dropping climax.",70.0
540,Red Dragon,(2002),7.2,60,234019,"
    A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.",72.0
541,Resident Evil,(2002),6.7,33,233987,"
    A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",67.0
542,8 Mile,(2002),7.1,77,231382,"
    A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",71.0
543,Road to Perdition,(2002),7.7,72,230193,"
    A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",77.0
544,Chicago,(2002),7.1,82,203043,"
    Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",71.0
545,Die Another Day,(2002),6.1,56,193560,"
    James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.",61.0
546,A Walk to Remember,(2002),7.4,35,189880,"
    The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service.",74.0
547,Blade II,(2002),6.7,52,188909,"
    Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",67.0
548,Austin Powers in Goldmember,(2002),6.2,62,185959,"
    Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",62.0
549,Hero,(2002),7.9,85,167233,"
    A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",79.0
550,xXx,(2002),5.9,48,167207,"
    An extreme sports athlete, Xander Cage, is recruited by the government on a special mission.",59.0
551,Adaptation.,(2002),7.7,83,166480,"
    A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.",77.0
552,25th Hour,(2002),7.6,67,163500,"
    Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",76.0
553,About a Boy,(2002),7.0,75,163168,"
    A cynical, immature young man is taught how to act like a grown-up by a little boy.",70.0
554,Lilo & Stitch,(2002),7.2,73,153191,"
    A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive.",72.0
555,Bowling for Columbine,(2002),7.9,72,135496,"
    Filmmaker Michael Moore explores the roots of America's predilection for gun violence.",79.0
556,Punch-Drunk Love,(2002),7.3,78,134608,"
    A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding.",73.0
557,Mr. Deeds,(2002),5.8,24,128499,"
    A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",58.0
558,The Scorpion King,(2002),5.5,45,124167,"
    A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.",55.0
559,We Were Soldiers,(2002),7.1,65,122416,"
    The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",71.0
560,The Count of Monte Cristo,(2002),7.7,61,121538,"
    A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",77.0
561,Reign of Fire,(2002),6.2,39,120591,"
    A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.",62.0
562,About Schmidt,(2002),7.1,85,117986,"
    A man upon retirement, embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",71.0
563,The Hours,(2002),7.5,80,117775,"
    The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives.",75.0
564,John Q,(2002),7.1,30,116431,"
    John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.",71.0
565,My Big Fat Greek Wedding,(2002),6.5,62,114484,"
    A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.",65.0
566,The Time Machine,(2002),6.0,42,113751,"
    Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",60.0
567,Infernal Affairs,(2002),8.1,75,111865,"
    A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",81.0
568,The Lord of the Rings: The Return of the King,(2003),8.9,94,1516260,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",89.0
569,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,63,972574,"
    Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",80.0
570,Kill Bill: Vol. 1,(2003),8.1,69,921865,"
    After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",81.0
571,Finding Nemo,(2003),8.1,90,880421,"
    After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",81.0
572,X2: X-Men United,(2003),7.4,68,486737,"
    When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",74.0
573,The Matrix Reloaded,(2003),7.2,62,484550,"
    Following the events of The Matrix (1999), Neo and the rebel leaders estimate they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. Neo must decide how he can save Trinity from a dark fate in his dreams.",72.0
574,Oldboy,(2003),8.4,77,466273,"
    After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",84.0
575,The Matrix Revolutions,(2003),6.7,47,420673,"
    The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.",67.0
576,Big Fish,(2003),8.0,58,393000,"
    A frustrated son tries to determine the fact from fiction in his dying father's life.",80.0
577,Mystic River,(2003),7.9,84,392449,"
    The lives of three men who were childhood friends are shattered when one of them has a family tragedy.",79.0
578,Love Actually,(2003),7.6,55,389112,"
    Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",76.0
579,Lost in Translation,(2003),7.7,89,378367,"
    A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.",77.0
580,The Last Samurai,(2003),7.7,55,374058,"
    An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.",77.0
581,Terminator 3: Rise of the Machines,(2003),6.3,66,353895,"
    A cybernetic warrior from a post-apocalyptic future travels back in time to protect a 25-year old drifter and his future wife from a most advanced robotic assassin and to ensure they both survive a nuclear attack.",63.0
582,Bruce Almighty,(2003),6.7,46,349811,"
    A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.",67.0
583,The Italian Job,(2003),7.0,68,325213,"
    After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",70.0
584,School of Rock,(2003),7.1,82,248155,"
    After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn them into a rock band.",71.0
585,Hulk,(2003),5.6,54,241616,"
    Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",56.0
586,Underworld,(2003),7.0,42,241484,"
    Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",70.0
587,2 Fast 2 Furious,(2003),5.9,38,235112,"
    Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.",59.0
588,21 Grams,(2003),7.7,70,214299,"
    A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",77.0
589,Identity,(2003),7.3,64,211740,"
    Stranded at a desolate Nevada motel during a nasty rain-storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",73.0
590,Bad Boys II,(2003),6.6,38,208731,"
    Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.",66.0
591,Old School,(2003),7.1,54,205265,"
    Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.",71.0
592,Daredevil,(2003),5.3,42,198977,"
    A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.",53.0
593,How to Lose a Guy in 10 Days,(2003),6.4,45,193603,"
    Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the ""How To"" beat for ""Composure"" magazine and is assigned to write an article on ""How to Lose a Guy in 10 days."" They meet in a bar shortly after the bet is made.",64.0
594,Anger Management,(2003),6.2,52,193368,"
    Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",62.0
595,Elf,(2003),6.9,64,193259,"
    After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father.",69.0
596,Master and Commander: The Far Side of the World,(2003),7.4,81,190979,"
    During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.",74.0
597,American Wedding,(2003),6.3,43,184537,"
    It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister.",63.0
598,The League of Extraordinary Gentlemen,(2003),5.8,30,158784,"
    In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.",58.0
599,Once Upon a Time in Mexico,(2003),6.4,56,146574,"
    Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.",64.0
600,Final Destination 2,(2003),6.2,38,142072,"
    When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",62.0
601,Johnny English,(2003),6.2,51,138934,"
    After a sudden attack on the MI5, Johnny English, Britain's most confident yet unintelligent spy, becomes Britain's only spy.",62.0
602,Cold Mountain,(2003),7.2,73,133148,"
    In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",72.0
603,S.W.A.T.,(2003),6.0,45,132398,"
    An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it.",60.0
604,Good Bye Lenin!,(2003),7.7,68,130204,"
    In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",77.0
605,Scary Movie 3,(2003),5.5,49,129392,"
    Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",55.0
606,Dogville,(2003),8.0,60,127809,"
    A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits the town, she finds out that their support has a price. Yet her dangerous secret is never far away.",80.0
607,Bad Santa,(2003),7.0,70,127758,"
    A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.",70.0
608,Monster,(2003),7.3,74,126062,"
    Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",73.0
609,The Recruit,(2003),6.6,56,124832,"
    A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.",66.0
610,The Texas Chainsaw Massacre,(2003),6.2,38,124056,"
    After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers.",62.0
611,Lara Croft Tomb Raider: The Cradle of Life,(2003),5.5,43,123231,"
    Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her.",55.0
612,Matchstick Men,(2003),7.3,61,118689,"
    A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.",73.0
613,Freaky Friday,(2003),6.1,70,116566,"
    An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",61.0
614,Charlie's Angels: Full Throttle,(2003),4.9,48,113924,"
    The Angels investigate a series of murders which occur after the theft of a witness protection profile database.",49.0
615,The Lord of the Rings: The Return of the King,(2003),8.9,94,1516260,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",89.0
616,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,63,972574,"
    Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",80.0
617,Kill Bill: Vol. 1,(2003),8.1,69,921865,"
    After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",81.0
618,Finding Nemo,(2003),8.1,90,880421,"
    After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",81.0
619,X2: X-Men United,(2003),7.4,68,486737,"
    When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",74.0
620,The Matrix Reloaded,(2003),7.2,62,484550,"
    Following the events of The Matrix (1999), Neo and the rebel leaders estimate they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. Neo must decide how he can save Trinity from a dark fate in his dreams.",72.0
621,Oldboy,(2003),8.4,77,466273,"
    After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",84.0
622,The Matrix Revolutions,(2003),6.7,47,420673,"
    The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.",67.0
623,Big Fish,(2003),8.0,58,393000,"
    A frustrated son tries to determine the fact from fiction in his dying father's life.",80.0
624,Mystic River,(2003),7.9,84,392449,"
    The lives of three men who were childhood friends are shattered when one of them has a family tragedy.",79.0
625,Love Actually,(2003),7.6,55,389112,"
    Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",76.0
626,Lost in Translation,(2003),7.7,89,378367,"
    A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.",77.0
627,The Last Samurai,(2003),7.7,55,374058,"
    An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.",77.0
628,Terminator 3: Rise of the Machines,(2003),6.3,66,353895,"
    A cybernetic warrior from a post-apocalyptic future travels back in time to protect a 25-year old drifter and his future wife from a most advanced robotic assassin and to ensure they both survive a nuclear attack.",63.0
629,Bruce Almighty,(2003),6.7,46,349811,"
    A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.",67.0
630,The Italian Job,(2003),7.0,68,325213,"
    After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",70.0
631,School of Rock,(2003),7.1,82,248155,"
    After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn them into a rock band.",71.0
632,Hulk,(2003),5.6,54,241616,"
    Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",56.0
633,Underworld,(2003),7.0,42,241484,"
    Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",70.0
634,2 Fast 2 Furious,(2003),5.9,38,235112,"
    Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.",59.0
635,21 Grams,(2003),7.7,70,214299,"
    A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",77.0
636,Identity,(2003),7.3,64,211740,"
    Stranded at a desolate Nevada motel during a nasty rain-storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",73.0
637,Bad Boys II,(2003),6.6,38,208731,"
    Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.",66.0
638,Old School,(2003),7.1,54,205265,"
    Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.",71.0
639,Daredevil,(2003),5.3,42,198977,"
    A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.",53.0
640,How to Lose a Guy in 10 Days,(2003),6.4,45,193603,"
    Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the ""How To"" beat for ""Composure"" magazine and is assigned to write an article on ""How to Lose a Guy in 10 days."" They meet in a bar shortly after the bet is made.",64.0
